Points 17-21 17-21 22-26 22-26 27-31 27-31 32-36 32-36 37-41 37-41 42-46 42-46 47-51 47-51 52-56 52-56 57-61 57-61 Over62 Over62
68 01:56 01:56 01:51 01:51 01:46 01:46 01:41 01:41 01:36 01:36 01:36 01:36 01:36 01:36 01:36 01:36 01:36 01:36 01:36 01:36 68
67 01:53 01:53 01:48 01:48 01:43 01:43 01:38 01:38 01:33 01:33 01:33 01:33 01:33 01:33 01:33 01:33 01:33 01:33 01:33 01:33 67
66 01:49 01:49 01:45 01:45 01:39 01:39 01:35 01:35 01:30 01:30 01:30 01:30 01:30 01:30 01:30 01:30 01:30 01:30 01:30 01:30 66
65 01:46 01:46 01:41 01:41 01:36 01:36 01:31 01:31 01:26 01:26 01:26 01:26 01:26 01:26 01:26 01:26 01:26 01:26 01:26 01:26 65
64 01:43 01:43 01:38 01:38 01:33 01:33 01:28 01:28 01:23 01:23 01:23 01:23 01:23 01:23 01:23 01:23 01:23 01:23 01:23 01:23 64
63 01:40 01:40 01:35 01:35 01:30 01:30 01:25 01:25 01:20 01:20 01:20 01:20 01:20 01:20 01:20 01:20 01:20 01:20 01:20 01:20 63
62 01:37 01:37 01:32 01:32 01:26 01:26 01:22 01:22 01:16 01:16 01:16 01:16 01:16 01:16 01:16 01:16 01:16 01:16 01:16 01:16 62
61 01:33 01:33 01:28 01:28 01:23 01:23 01:18 01:18 01:13 01:13 01:13 01:13 01:13 01:13 01:13 01:13 01:13 01:13 01:13 01:13 61
60 01:30 01:30 01:25 01:25 01:20 01:20 01:15 01:15 01:10 01:10 01:10 01:10 01:10 01:10 01:10 01:10 01:10 01:10 01:10 01:10 60
59 --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- 59
58 01:29 01:29 01:24 01:24 01:19 01:19 01:14 01:14 01:09 01:09 01:09 01:09 01:09 01:09 01:09 01:09 01:09 01:09 01:09 01:09 58
57 --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- 57
56 01:28 01:28 01:23 01:23 01:18 01:18 01:13 01:13 01:08 01:08 01:08 01:08 01:08 01:08 01:08 01:08 01:08 01:08 01:08 01:08 56
55 --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- 55
54 01:27 01:27 01:22 01:22 01:17 01:17 01:12 01:12 01:07 01:07 01:07 01:07 01:07 01:07 01:07 01:07 01:07 01:07 01:07 01:07 54
53 --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- 53
52 01:26 01:26 01:21 01:21 01:16 01:16 01:11 01:11 01:06 01:06 01:06 01:06 01:06 01:06 01:06 01:06 01:06 01:06 01:06 01:06 52
51 --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- 51
50 01:25 01:25 01:20 01:20 01:15 01:15 01:10 01:10 01:05 01:05 01:05 01:05 01:05 01:05 01:05 01:05 01:05 01:05 01:05 01:05 60
49 --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- 49
48 01:24 01:24 01:19 01:19 01:14 01:14 01:09 01:09 01:04 01:04 01:04 01:04 01:04 01:04 01:04 01:04 01:04 01:04 01:04 01:04 48
47 --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- 47
46 01:23 01:23 01:18 01:18 01:13 01:13 01:08 01:08 01:03 01:03 01:03 01:03 01:03 01:03 01:03 01:03 01:03 01:03 01:03 01:03 46
45 --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- 45
44 01:22 01:22 01:17 01:17 01:12 01:12 01:07 01:07 01:02 01:02 01:02 01:02 01:02 01:02 01:02 01:02 01:02 01:02 01:02 01:02 44
43 --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- 43
42 01:21 01:21 01:16 01:16 01:11 01:11 01:06 01:06 01:01 01:01 01:01 01:01 01:01 01:01 01:01 01:01 01:01 01:01 01:01 01:01 42
41 --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- 41
40 01:20 01:20 01:15 01:15 01:10 01:10 01:05 01:05 01:00 01:00 01:00 01:00 01:00 01:00 01:00 01:00 01:00 01:00 01:00 01:00 40
39 --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- 39
38 01:19 01:19 01:14 01:14 01:09 01:09 01:04 01:04 00:59 00:59 00:59 00:59 00:59 00:59 00:59 00:59 00:59 00:59 00:59 00:59 38
37 --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- 37
36 01:18 01:18 01:13 01:13 01:08 01:08 01:03 01:03 00:58 00:58 00:58 00:58 00:58 00:58 00:58 00:58 00:58 00:58 00:58 00:58 36
35 --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- 35
34 01:17 01:17 01:12 01:12 01:07 01:07 01:02 01:02 00:57 00:57 00:57 00:57 00:57 00:57 00:57 00:57 00:57 00:57 00:57 00:57 34
33 --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- 33
32 01:16 01:16 01:11 01:11 01:06 01:06 01:01 01:01 00:56 00:56 00:56 00:56 00:56 00:56 00:56 00:56 00:56 00:56 00:56 00:56 32
31 --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- 31
30 01:15 01:15 01:10 01:10 01:05 01:05 01:00 01:00 00:55 00:55 00:55 00:55 00:55 00:55 00:55 00:55 00:55 00:55 00:55 00:55 30
29 --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- 29
28 01:14 01:14 01:09 01:09 01:04 01:04 00:59 00:59 00:54 00:54 00:54 00:54 00:54 00:54 00:54 00:54 00:54 00:54 00:54 00:54 28
27 --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- 27
26 01:13 01:13 01:08 01:08 01:03 01:03 00:58 00:58 00:53 00:53 00:53 00:53 00:53 00:53 00:53 00:53 00:53 00:53 00:53 00:53 26
25 --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- 25
24 01:12 01:12 01:07 01:07 01:02 01:02 00:57 00:57 00:52 00:52 00:52 00:52 00:52 00:52 00:52 00:52 00:52 00:52 00:52 00:52 24
23 --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- 23
22 01:11 01:11 01:06 01:06 01:01 01:01 00:56 00:56 00:51 00:51 00:51 00:51 00:51 00:51 00:51 00:51 00:51 00:51 00:51 00:51 22
21 --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- 21
20 01:10 01:10 01:05 01:05 01:00 01:00 00:55 00:55 00:50 00:50 00:50 00:50 00:50 00:50 00:50 00:50 00:50 00:50 00:50 00:50 20
19 --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- 19
18 01:09 01:09 01:04 01:04 00:59 00:59 00:54 00:54 00:49 00:49 00:49 00:49 00:49 00:49 00:49 00:49 00:49 00:49 00:49 00:49 18
17 --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- 17
16 01:08 01:08 01:03 01:03 00:58 00:58 00:53 00:53 00:48 00:48 00:48 00:48 00:48 00:48 00:48 00:48 00:48 00:48 00:48 00:48 16
15 --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- 15
14 01:07 01:07 01:02 01:02 00:57 00:57 00:52 00:52 00:47 00:47 00:47 00:47 00:47 00:47 00:47 00:47 00:47 00:47 00:47 00:47 14
13 --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- 13
12 01:06 01:06 01:01 01:01 00:56 00:56 00:51 00:51 00:46 00:46 00:46 00:46 00:46 00:46 00:46 00:46 00:46 00:46 00:46 00:46 12
11 --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- 11
10 01:05 01:05 01:00 01:00 00:55 00:55 00:50 00:50 00:45 00:45 00:45 00:45 00:45 00:45 00:45 00:45 00:45 00:45 00:45 00:45 10
9 --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- 9
8 01:04 01:04 00:59 00:59 00:54 00:54 00:49 00:49 00:44 00:44 00:44 00:44 00:44 00:44 00:44 00:44 00:44 00:44 00:44 00:44 8
7 --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- 7
6 01:03 01:03 00:58 00:58 00:53 00:53 00:48 00:48 00:43 00:43 00:43 00:43 00:43 00:43 00:43 00:43 00:43 00:43 00:43 00:43 6
5 --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- 5
4 01:02 01:02 00:57 00:57 00:52 00:52 00:47 00:47 00:42 00:42 00:42 00:42 00:42 00:42 00:42 00:42 00:42 00:42 00:42 00:42 4
3 --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- 3
2 01:01 01:01 00:56 00:56 00:51 00:51 00:46 00:46 00:41 00:41 00:41 00:41 00:41 00:41 00:41 00:41 00:41 00:41 00:41 00:41 2
1 --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- 1
0 01:00 01:00 00:55 00:55 00:50 00:50 00:45 00:45 00:40 00:40 00:40 00:40 00:40 00:40 00:40 00:40 00:40 00:40 00:40 00:40 0
