Points 17-21 17-21 22-26 22-26 27-31 27-31 32-36 32-36 37-41 37-41 42-46 42-46 47-51 47-51 52-56 52-56 57-61 57-61 Over62 Over62
71 8.3 5.2 8.8 5.3 8.9 5.4 8.8 5.4 8.7 --- 8.3 --- 8.0 4.9 7.4 --- --- 4.6 6.7 4.6 71
70 8.2 --- 8.6 --- 8.8 5.3 8.7 5.3 8.6 --- 8.2 5.1 7.9 --- 7.3 4.6 6.9 --- 6.6 --- 70
69 8.1 5.1 8.5 5.2 8.6 --- 8.6 --- 8.5 5.1 8.1 5.1 7.7 4.8 7.1 --- 6.8 4.5 6.4 4.5 69
68 8.0 5.0 8.3 --- 8.5 5.2 8.5 5.2 8.3 5.0 8.0 5.0 7.6 4.7 7.0 4.5 6.7 4.4 6.2 4.4 68
67 7.9 --- 8.2 5.1 8.4 --- 8.3 --- 8.2 4.9 7.9 4.9 7.5 4.6 --- 4.4 6.6 4.3 --- 4.3 67
66 7.7 4.9 8.1 5.0 8.3 5.1 8.2 5.1 8.1 --- 7.8 4.8 7.4 --- 6.9 --- 6.5 4.2 6.1 4.2 66
65 7.5 4.8 7.8 4.9 8.1 5.0 8.1 5.0 7.8 4.8 7.6 4.7 7.2 --- 6.7 4.3 6.3 4.1 --- 4.1 65
64 7.4 --- 7.7 4.8 7.9 4.9 7.9 4.9 7.7 4.7 7.4 --- 7.1 4.5 6.6 4.2 6.2 4.0 5.9 --- 64
63 7.2 4.7 7.5 4.7 7.7 4.8 7.6 4.8 7.5 4.6 7.3 4.6 6.9 4.4 6.4 --- 6.1 3.9 5.7 4.0 63
62 6.9 4.6 7.3 4.6 7.5 4.7 7.4 4.7 7.3 4.5 7.1 4.5 6.7 4.2 6.2 4.1 6.0 3.8 5.4 3.9 62
61 6.6 4.4 6.9 4.4 7.1 4.6 7.1 4.5 7.0 4.4 6.7 4.2 6.4 4.1 6.0 3.9 5.7 3.6 5.1 3.6 61
60 6.0 3.9 6.3 4.0 6.5 4.2 6.5 4.1 6.4 4.1 6.2 3.9 6.0 3.7 5.7 3.5 5.3 3.4 4.9 3.4 60
59 --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- 59
58 --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- 58
57 5.9 --- 6.2 --- 6.4 4.1 6.4 --- 6.3 --- 6.1 --- 5.9 --- 5.6 --- --- --- --- --- 57
56 --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- 56
55 --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- 55
54 --- 3.8 --- 3.9 --- --- --- 4.0 --- 4.0 --- 3.8 --- 3.6 --- 3.4 5.2 --- 4.8 --- 54
53 --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- 53
52 5.8 --- 6.1 --- 6.3 4.0 6.3 --- 6.2 --- 6.0 --- 5.8 --- 5.5 --- --- --- --- --- 52
51 --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- 51
50 --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- 50
49 --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- 49
48 --- --- --- --- 6.2 --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- 48
47 5.7 --- --- --- --- --- 6.2 --- 6.1 --- --- 3.7 5.7 --- 5.4 --- 5.1 --- --- --- 47
46 --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- 46
45 --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- 45
44 --- 3.7 6.0 3.8 6.1 3.9 --- 3.9 --- 3.9 5.9 --- --- 3.5 --- 3.3 --- 3.3 4.7 3.3 44
43 --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- 43
42 5.6 --- --- --- --- --- 6.1 --- 6.0 --- --- 3.6 5.6 --- 5.3 --- 5.0 --- --- --- 42
41 --- --- --- --- 6.0 --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- 41
40 --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- 40
39 --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- 39
38 5.5 --- 5.9 --- --- --- --- --- --- --- 5.8 --- --- --- 5.2 --- --- --- --- --- 38
37 --- 3.6 --- --- 5.9 --- 6.0 --- 5.9 3.8 --- --- 5.5 --- --- 3.2 --- --- 4.6 --- 37
36 --- --- 5.8 --- --- --- --- --- --- --- 5.7 --- --- --- --- --- --- --- --- --- 36
35 --- --- --- 3.8 --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- 35
34 5.4 --- --- --- --- 3.8 --- 3.8 --- --- --- 3.5 --- 3.4 5.1 --- --- 3.2 --- 3.2 34
33 --- --- 5.7 --- --- --- --- --- --- --- 5.6 --- --- --- --- --- --- --- --- --- 33
32 --- 3.5 --- --- 5.8 --- 5.9 --- 5.8 3.7 --- --- 5.4 --- --- 3.1 --- --- 4.5 --- 32
31 5.3 --- 5.6 --- --- --- --- --- --- --- 5.5 --- --- --- 5.0 --- --- --- --- --- 31
30 --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- 30
29 --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- 29
28 5.2 --- 5.5 --- 5.7 --- 5.8 --- 5.7 --- 5.4 --- 5.3 3.3 --- --- --- --- --- --- 28
27 --- --- --- 3.6 --- 3.7 --- 3.7 --- --- --- 3.4 --- --- --- --- --- --- --- --- 27
26 --- --- 5.4 --- 5.6 --- 5.7 --- 5.6 --- 5.3 --- 5.2 --- --- --- --- --- --- --- 26
25 --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- 25
24 5.1 3.4 --- --- --- --- 5.6 --- --- 3.6 --- --- --- 3.2 4.9 3.0 4.9 3.1 4.4 3.1 24
23 --- --- 5.3 --- 5.5 --- --- --- 5.5 --- 5.2 --- 5.1 --- --- --- --- --- --- --- 23
22 --- --- --- 3.5 --- 3.6 5.5 3.6 --- --- --- 3.3 --- --- --- --- --- --- --- --- 22
21 5.0 --- 5.2 --- 5.4 --- --- --- 5.4 --- 5.1 --- 5.0 3.1 --- --- --- --- --- --- 21
20 --- --- --- --- --- --- 5.4 --- --- --- --- --- --- --- --- --- --- --- --- --- 20
19 --- --- --- --- 5.3 --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- 19
18 4.9 3.3 5.1 3.4 --- 3.5 5.3 3.5 5.3 3.5 5.0 3.2 4.9 3.0 4.8 --- 4.8 3.0 --- 3.0 18
17 --- --- --- --- 5.2 --- --- --- --- --- --- --- --- --- --- 2.9 --- --- 4.3 --- 17
16 4.8 --- 5.0 --- --- --- 5.2 --- 5.2 --- --- --- 4.8 --- 4.7 --- 4.7 --- --- --- 16
15 --- --- --- --- 5.1 --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- 15
14 4.7 3.2 4.9 3.3 5.0 3.4 5.1 3.4 5.1 3.4 4.9 3.1 --- 2.9 --- --- --- 2.9 --- 2.9 14
13 --- --- --- --- --- --- --- --- --- --- --- --- 4.7 --- 4.6 --- 4.6 --- --- --- 13
12 4.6 --- 4.8 --- 4.9 --- 5.0 --- 5.0 --- --- --- --- --- --- 2.8 --- --- 4.2 --- 12
11 --- 3.1 --- 3.2 --- 3.3 --- 3.3 --- 3.3 4.8 3.0 4.6 2.8 4.5 --- 4.5 2.8 --- 2.8 11
10 4.5 --- 4.7 --- 4.8 --- 4.9 --- 4.9 --- --- --- --- --- --- --- --- --- --- --- 10
9 --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- 9
8 4.4 3.0 4.6 3.1 4.7 3.2 4.8 3.2 4.8 3.2 4.7 2.9 4.5 2.7 4.4 2.7 4.4 2.7 4.1 2.7 8
7 --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- 7
6 4.3 2.9 4.5 3.0 4.6 3.1 4.7 3.1 4.7 3.1 4.6 2.8 4.4 2.6 4.3 2.6 4.3 2.6 4.0 2.6 6
5 --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- 5
4 4.2 2.8 4.4 2.9 4.5 3.0 4.6 3.0 4.6 3.0 4.5 2.7 4.3 2.5 4.2 2.5 4.2 2.5 3.9 2.5 4
3 --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- 3
2 4.1 2.7 4.3 2.8 4.4 2.9 4.5 2.9 4.5 2.9 4.4 2.6 4.2 2.4 4.1 2.4 4.1 2.4 3.8 2.4 2
1 --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- --- 1
0 4.0 2.6 4.2 2.7 4.3 2.8 4.4 2.8 4.4 2.8 4.3 2.5 4.1 2.3 4.0 2.3 4.0 2.3 3.7 2.3 0
